ein,total_revenue,program_expenses,tax_year,efficiency_ratio
01-0263198,62258449.0,62944389.0,2023,1.0110176210782251
01-0317679,10614073.0,11494464.0,2024,1.082945632652046
01-0358090,2368116.0,2723869.0,2023,1.1502261713530926
01-0367791,1158109.0,1035331.0,2023,0.8939840723109829
01-0377246,2419175.0,2012198.0,2023,0.8317703349282297
01-0449761,1434260.0,1223552.0,2023,0.8530893980170959
01-0482508,1461030.0,1509121.0,2023,1.0329158196614716
01-0532411,1823356.0,1823347.0,2023,0.9999950640467358
01-0540981,2055844.0,2001214.0,2023,0.9734269720854306
01-0541817,1349299.0,1023730.0,2023,0.7587124870025101
01-0544468,2551410.0,2046665.0,2023,0.8021701725712449
01-0683413,1395063.0,1571727.0,2023,1.1266351412086766
01-0954142,4650135.0,3666296.0,2023,0.7884278628469926
02-0337620,3790619.0,2879785.0,2024,0.7597136509894558
02-0350899,3033359.0,1548096.0,2023,0.5103570002759318
02-0360151,11526485.0,11469557.0,2023,0.9950611136005469
02-0395538,1706004.0,2209306.0,2023,1.295018065608287
02-0426348,3001373.0,2043643.0,2023,0.6809027068611598
02-0455301,3471294.0,2620249.0,2024,0.7548335001299228
02-0458455,290540.0,262611.0,2023,0.9038721002271632
02-0466392,1315476.0,1341991.0,2023,1.0201562020135677
02-0481882,752346.0,500198.0,2023,0.6648510126989444
02-0511413,7471352.0,5641748.0,2023,0.7551174138228262
02-0614246,1620530.0,2439690.0,2023,1.5054889449747921
03-0177161,34161645.0,34616276.0,2023,1.0133082291558266
03-0179423,98450070.0,99802640.0,2023,1.013738639291978
03-0181058,120347555.0,110741646.0,2023,0.9201819347306225
03-0222941,31769487.0,30900536.0,2023,0.9726482520791098
03-0262162,4575686.0,4532439.0,2023,0.9905485210305077
03-0280726,2120179.0,2581619.0,2023,1.2176420009819926
03-0301526,3531376.0,3896201.0,2023,1.1033095881039006
03-0364340,924754.0,1216252.0,2023,1.3152168036039855
03-0475508,3390880.0,4975958.0,2023,1.4674532864625112
03-0494366,5460248.0,5460248.0,2023,1.0
03-0583790,4161799.0,3779757.0,2023,0.9082026786973614
03-6013761,122405630.0,121233162.0,2023,0.9904214536537249
04-2103576,19382762.0,16875340.0,2023,0.8706364964910573
04-2503926,142135734.0,137772639.0,2023,0.9693033210072282
04-2657418,802010.0,710210.0,2023,0.885537586813132
04-2660283,8309577.0,8665749.0,2023,1.042862831645943
04-2676138,1916384.0,1897867.0,2023,0.9903375315176917
04-2681632,12593252.0,8160945.0,2023,0.6480411096355413
04-2698497,28659880.0,29470038.0,2023,1.0282680178702772
04-2716665,4198150.0,3841247.0,2024,0.9149856484403844
04-2733854,3479762.0,3335079.0,2023,0.9584215817058753
04-2735048,2987734.0,2952397.0,2023,0.9881726418750799
04-2735449,2928145.0,3171757.0,2024,1.083196699616993
04-2760272,4483773.0,3579250.0,2023,0.7982674412821523
04-2767880,336322410.0,286401935.0,2023,0.8515695846732306
04-2775991,359422565.0,353353916.0,2024,0.983115559258223
04-2780714,1442777.0,1395299.0,2024,0.9670926276202074
04-2875899,5802494.0,6455014.0,2023,1.1124550925860501
04-3005094,23205627.0,23864575.0,2023,1.0283960437699011
04-3018996,1739858.0,246720.0,2022,0.14180467601378963
04-3029411,346931.0,473153.0,2023,1.3638245068904191
04-3111983,939201.0,754170.0,2023,0.8029910530333763
04-3119424,1324012.0,1152917.0,2023,0.8707753404047698
04-3145070,6099992.0,5016060.0,2023,0.8223059964668806
04-3157085,1855446.0,1671077.0,2023,0.9006335942948488
04-3170766,1013118.0,764028.0,2023,0.7541352537414201
04-3182608,1876575.0,1772669.0,2023,0.9446299774855788
04-3229679,170815918.0,140022676.0,2023,0.8197284986051475
04-3237796,2153670.0,2135209.0,2023,0.9914281203712733
04-3252325,0.0,4237.0,2023,
04-3260692,1618662.0,1384970.0,2023,0.8556264371437644
04-3263996,2214437.0,2177993.0,2023,0.9835425437707191
04-3265310,835362.0,860920.0,2023,1.030595119241718
04-3276483,2277653.0,2164467.0,2023,0.9503058630967931
04-3287827,3250804.0,3191220.0,2023,0.981670995852103
04-3311270,16639054.0,14275181.0,2022,0.8579322478309164
04-3320445,1480878.0,81000.0,2023,0.05469728093738985
