EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010674605,IGLESIA FUENTE DE AGUA VIVA ORLANDO FL INC,% RODOLFO O FONT,PO BOX 3869,CAROLINA,PR,00984-3869,0000,03,3,7000,201611,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010674736,US-JAPAN RELATIONSHIP FUND INC,% TATSUHIKO WAKAO,KAWASAKI KANAGAWA 216-0033,JAPAN,,00000-0000,0000,03,3,1200,200401,1,15,000000000,1,01,202312,0,0,02,0,12,0,0,0,Q20,
010728628,INTERSECTIONS INC,% MOELILIA SEUI,PO BOX 1715,PAGO PAGO,AS,96799-1715,0000,03,3,1000,200211,1,15,000000000,1,01,202412,0,0,02,0,12,0,0,0,O50,
010880225,YENZA INC,% CZERINA PATEL/YENZA,THREE ANCHOR BAY WESTERN CAPE 8005,SOUTH AFRICA,,00000-0000,0000,03,3,1000,200910,1,15,000000000,1,01,202511,0,0,02,0,11,0,0,0,Q21,YENZA
020533102,PATHSTONE CORPORATION,,VILLA NEVAREZ CALLE 5 STE 1122,SAN JUAN,PR,00927-0000,9113,03,9,1000,198209,1,15,994566560,1,01,,0,0,01,0,09,,,,,PARQUE PLATINO INC
020681313,TOASTMASTERS INTERNATIONAL,% DAYTON UNITED COMMUNICATORS CLUB,NASSAU,THE BAHAMAS,,00000-0000,0820,03,9,2000,194505,1,16,059319000,1,01,202512,0,0,02,0,12,0,0,0,,1694 DAYTON UNITED COMMUNICATORS CL
030182719,PROCTOR CEMETERY ASSOC,% WIN THOMAS,5113 TURNER HOLE,CHRISTIANSTED,VI,00820-4586,0000,13,3,1000,201705,1,00,900000000,5,01,202512,0,0,02,0,12,0,0,0,Y50,
030356850,KOSA COMMUNICATIONS LTD,% ALDO MAZZA,MONTREAL QUEBEC H3C 2S1,CANADA,,00000-0000,0000,03,3,1000,201808,1,16,000000000,1,01,202412,0,0,02,0,12,0,0,0,Q21,
030424472,KINGDOM HARVEST MINISTRIES INTERNATIONAL,% SNIDER VICK,DELTA BRITISH COLUMBIA V4L 2P8,CANADA,,00000-0000,0000,03,3,1700,201408,1,15,000000000,1,01,202512,0,0,02,0,12,0,0,0,Q33,
043319132,OTTOMAN STUDIES FOUNDATION INC,,FATIH ISTANBUL TURKEY 34093,TURKEY,,00000-0000,0000,03,3,2000,199806,2,16,092000000,1,01,202412,4,3,01,0,12,104474,69523,69523,A76P,
