Relation Type,Source,Count,Example Source,Example Target
CO_DIRECTOR,SYSTEM,122628,'t Hart Cees,'t Hart Cees
DIRECTOR,SEC_FORM_4,10634,'t Hart Cees,"10x Genomics, Inc."
TRANSACTED_WITH,EPSTEIN_COMMITTEE,10146,(917)455-3343,0 MAXWELL
MENTIONED_WITH,GDELT,7482,abby finkenauer,adam schiff
ALIAS,SYSTEM,7069,"& Brown, Inc. Brown",1RT Acquisition Sponsor LLC
FORMER_NAME,SEC,6469,"20/20 Biolabs, Inc.",1011773 B.C. Unlimited Liability Co
FELLOW_JUSTICE,WIKIDATA,5346,Abe Fortas,Alfred Moore
COMMUNICATED_WITH,EPSTEIN_COMMITTEE,3731,(312)730-9978,(561)308-0282
INSIDER,SEC_FORM_4,1482,"1315 Capital II, L.P.",1 800 FLOWERS COM INC
ALMA_MATER,WIKIPEDIA,1479,Aart de Geus,ACT Academy of Sport
PAID_BY,EPSTEIN_COMMITTEE,1261,ACCORDANCE,ARBITRAGEUR
FELLOW_GOVERNOR,WIKIDATA_POLITICIAN,1225,Andy Beshear,Bill Lee
DIRECTOR,SEC_FORM_D,960,A. Adair,ADVANTEST CORP
MEMBER_OF_CONGRESS,WIKIDATA_POLITICIAN,792,A. Donald McEachin,U.S. House of Representatives
OFFICER,SEC_FORM_D,751,A. Adair,ADVANTEST CORP
EMPLOYER,WIKIPEDIA,738,Adam Ross,20th Century Studios
OFFICER (Chief Financial Officer),SEC_FORM_4,665,ADAMS TIMOTHY A,"20/20 Biolabs, Inc."
BOARD_MEMBER,IRS_990,625,-,199 Philanthropic Fund
DIRECTOR (Chief Executive Officer),SEC_FORM_4,622,AMIN TARANG,1RT Acquisition Corp.
TRAVELED_TO,EPSTEIN_COMMITTEE,593,(561)308-0282,116 EAST 65TH STREET LLC
ASSOCIATED_WITH,EPSTEIN_COMMITTEE,557,ACOed,Abates Samba
EMPLOYEE,WIKIDATA,440,Adam B Kashlak,Agriculture Department
EMPLOYED_BY,EPSTEIN_COMMITTEE,433,AG Bondi,Alan
TEN_PERCENT_OWNER,SEC_FORM_4,347,3M CO,"ADVANCED DRAINAGE SYSTEMS, INC."
SPOUSE,WIKIPEDIA,301,Adriana Cisneros,Adeline Walmsley
DIRECTOR (President and CEO),SEC_FORM_4,265,ABALLI JOHN,"60 DEGREES PHARMACEUTICALS, INC."
BOARD_MEMBER,WIKIDATA,216,Abby Joseph Cohen,American Enterprise Institute
OFFICER (See Remarks),SEC_FORM_4,216,Abbaszadeh Sia,"ADVANCED DRAINAGE SYSTEMS, INC."
OFFICER (Chief Operating Officer),SEC_FORM_4,211,ALLAMEH SHAHIN,"20/20 Biolabs, Inc."
MET_WITH,EPSTEIN_COMMITTEE,199,Abet,Abates Samba
OFFICER (Executive Vice President),SEC_FORM_4,199,ARROYO MANUEL,3M CO
DIRECTOR (CEO),SEC_FORM_4,174,ABUHOFF JACK,"ADM ENDEAVORS, INC."
FOUNDER,WIKIPEDIA,173,Abbot Ulsinus,ADOBE SYSTEMS
OFFICER (Chief Accounting Officer),SEC_FORM_4,167,Abrahamsen Danielle Nicole,"AAON, INC."
DIRECTOR (President & CEO),SEC_FORM_4,158,ANGEL STEPHEN F,ACCENDRA HEALTH INC/VA/
GRANTED_TO,IRS_990,150,Overbrook Foundation,A Better Balance
FILER,IRS_990,144,199 Philanthropic Fund,199 Philanthropic Fund
MEMBER_OF,WIKIPEDIA,136,Adam Ross,1st Northern Ireland Assembly (1973–1974)
OFFICER (Senior Vice President),SEC_FORM_4,136,ALLER THOMAS L,3M CO
AFFILIATED_WITH,EPSTEIN_COMMITTEE,126,Deutsche Bank,Afrika-Verein
CHAIRMAN,WIKIDATA,113,Abram L. Sachar,Academy of Art University
OFFICER (Chief Executive Officer),SEC_FORM_4,110,ACKMAN WILLIAM A,1 800 FLOWERS COM INC
OFFICER (Vice President),SEC_FORM_4,105,ADAMS WILLIAM IV,AMAZON COM INC
OFFICER (President),SEC_FORM_4,99,Abbott Richard David,ALLSTATE CORP
DIRECTOR (President),SEC_FORM_4,97,AYERS JASON C,AI Era Corp.
JUSTICE,WIKIDATA,96,Abe Fortas,Supreme Court
OFFICER (Chief Legal Officer),SEC_FORM_4,96,Adams Benjamin Carlton,"4D Molecular Therapeutics, Inc."
DIRECTOR (Chairman and CEO),SEC_FORM_4,79,Adler Paul,1847 Holdings LLC
OFFICER (CFO),SEC_FORM_4,79,Agiri Oluwagbemileke Yusuf,"ADM ENDEAVORS, INC."
OFFICER (Chief Technology Officer),SEC_FORM_4,78,AMIT RAM,"ADTRAN Holdings, Inc."
DIRECTOR (Executive Chairman),SEC_FORM_4,75,ADAIR A JAYSON,1ST SOURCE CORP
DIRECTOR (See Remarks),SEC_FORM_4,75,ARMEN GARO H,"4D Molecular Therapeutics, Inc."
SPORTS_OWNER,WIKIDATA,75,Amy Adams Strunk,Sports Team Owner
ALUMNI,WIKIPEDIA,72,Bachelor of Arts,Alejandro Mayorkas
PARTNER_AT,WIKIPEDIA,69,Aidan Synnott,Baker McKenzie
OFFICER (Chief Commercial Officer),SEC_FORM_4,67,ANTOUN GEORGES,1 800 FLOWERS COM INC
